address,state,provAbortion
"203 E Irving Park Road, Wood Dale, IL 60191",IL,Provides Abortions
"2415 S. Michigan Avenue, Chicago, IL 60616",IL,Provides Abortions
"2903 North State Street, Jackson, MS 39216",MS,Provides Abortions
"271 Newark Ave, Jersey City, NJ 07302",NJ,Provides Abortions
"1323 Stuyvesant Avenue, Union, NJ 07083",NJ,Provides Abortions
"559 Portsmouth Ave, Greenland, NH 03840",NH,Provides Abortions
"3144 John F. Kennedy Blvd., Jersey City, NJ 07305",NJ,Provides Abortions
"1547 W. Clinch Avenue, Knoxville, TN 37916",TN,Provides Abortions
"4 Office Park Drive, Little Rock, AR 72211",AR,Provides Abortions
"933 NW 25th Avenue, Portland, OR 97210",OR,Provides Abortions
"700 Mount Hope Avenue, Suite 420, Bangor ME 04401",ME,Provides Abortions
"43 Gabriel Drive, Augusta, ME, 04330",ME,Provides Abortions
"68 Mount Hope Avenue, Bangor, ME 04401",ME,Provides Abortions
"147 Waldo Avenue, Belfast, ME 04915",ME,Provides Abortions
"10 Barker St Suite D, Calais, ME 04619",ME,Provides Abortions
"767 Main Street, Damariscotta, ME 04543",ME,Provides Abortions
"311 Corinna Road, Dexter, ME 04930",ME,Provides Abortions
"248 State Street, Ellsworth, ME 04605",ME,Provides Abortions
"193 Front Street, Farmington, ME 04938",ME,Provides Abortions
"139 Market Street, Fort Kent, ME 04743",ME,Provides Abortions
"91 Military Street, Houlton, ME 04730",ME,Provides Abortions
"179 Lisbon Street, Lewiston, ME 04240",ME,Provides Abortions
"247 Main Street, Machias, ME 04654",ME,Provides Abortions
"9 Marston Street, Norway, ME 04268",ME,Provides Abortions
"5 Martin Street, Presque Isle, ME 04769",ME,Provides Abortions
"22 White Street, Rockland, ME 04841",ME,Provides Abortions
"218 Penobscot Street, Rumford, ME 04276",ME,Provides Abortions
"188 Madison Avenue, Skowhegan, ME 04976",ME,Provides Abortions
"18 Silver Street, Waterville, ME 04901",ME,Provides Abortions
"77 Gilcreast Road, Suite 1000, Londonderry, NH 03053",NH,Provides Abortions
"150 Tarrytown Rd, Manchester, NH 03103",NH,Provides Abortions
"106 Irving Street NW, Physicians Office Building, Suite 4400 North Tower, Washington, DC 20010",DC,Provides Abortions
"Princeton Executive Square, 5625 Allentown Rd.Suite #203, Camp Springs, MD 20746",MD,Provides Abortions
"5915 Greenbelt Rd, College Park, MD 20740",MD,Provides Abortions
"9063 Shady Grove Court, Gaithersburg, MD 20877",MD,Provides Abortions
"40 Engle Street, Englewood, NJ 07631",NJ,Provides Abortions
"7777 North University Drive, Suite 102, Ft. Lauderdale, FL 33321",FL,Provides Abortions
"425 S. Cherry Street, Suite 300, Denver, CO 80246",CO,Provides Abortions
"8200 E Belleview Ave., Suite #320, Englewood, CO 80111",CO,Provides Abortions
"9370 SW 72nd St A104, Miami, FL 33173",FL,Provides Abortions
"6161 Miramar Parkway, Suite 300, Miramar, FL 33023",FL,Provides Abortions
"330 Mount Auburn St, Cambridge, MA 02138",MA,Provides Abortions
"1530 Ellis Street, Bellingham, WA 98225",WA,Provides Abortions
"1805 E Division Street, Mount Vernon, WA 98274",WA,Provides Abortions
"4903 W. Pico Blvd. #202, Los Angeles, CA 90019",CA,Provides Abortions
