address,city,county,state,latitude,longitude,stateFIPS,GEOID
"1401-A Martin Luther King Jr Way, Tacoma, WA 98405",Tacoma,Pierce County,WA,47.248776,-122.450651,53,53053
"2020 South Clinton Avenue, Rochester, NY 14618",Rochester,Monroe County,NY,43.119424,-77.594687,36,36055
"10215 W. Roosevelt Rd. #101, Westchester, IL 60154",Westchester,Cook County,IL,41.863012,-87.878448,17,17031
"4840 College Boulevard, Overland Park, KS 66211",Leawood,Johnson County,KS,38.928261,-94.641338,20,20091
"502 Kings Highway North, Cherry Hill, NJ 08034",Cherry Hill,Camden County,NJ,39.926807,-74.996897,34,34007
"89-26 Roosevelt Avenue, 2nd Floor, Jackson Heights, NY 11372",Jackson Heights,Queens County,NY,40.748459,-73.877306,36,36081
"1726 Poplar Ave, Memphis, TN 38104",Memphis,Shelby County,TN,35.143003,-90.002865,47,47157
"147-32 Jamaica Avenue, Jamaica, NY 11435",Jamaica,Queens County,NY,40.701655,-73.806693,36,36081
"3607 West 16th Street Suite B-2, Indianapolis, IN 46222",Indianapolis,Marion County,IN,39.787431,-86.221447,18,18097
"181 West Meadow Dr. - Suite 800, Vail, CO 81657",Vail,Eagle County,CO,39.64295,-106.380887,8,8037
"3850 Rosemont Drive, Columbus, GA 31904",Columbus,Muscogee County,GA,32.501404,-84.959084,13,13215
"222 N. 2nd Street, Suite 206, Boise, ID 83702",Boise,Ada County,ID,43.613194,-116.19497,16,16001
"619 NW 23rd Street, Oklahoma City, OK 73103",Oklahoma City,Oklahoma County,OK,35.493464,-97.523438,40,40109
"4401 W 109th Street #100, Overland Park, KS 66211",Leawood,Johnson County,KS,38.930864,-94.636726,20,20091
"2226 E Central, Wichita, KS 67214",Wichita,Sedgwick County,KS,37.69393,-97.309483,20,20173
"8111 Lowry Blvd, Denver, CO 80230",Denver,Denver County,CO,39.717693,-104.89423,8,8031
"104-08 Roosevelt Avenue, 2nd Floor, Corona, Queens, NY 11368",Corona,Queens County,NY,40.749815,-73.86132,36,36081
"CCMC Annex- Alexander Silberman Center, 1 Medical Center Blvd., 4th Floor, Chester, PA 19013",Chester,Delaware County,PA,39.848163,-75.378098,42,42045
"756 Colonial Drive, Baton Rouge, LA 70806",Baton Rouge,East Baton Rouge Parish,LA,30.443853,-91.100075,22,22033
"1900 E. Desert Inn Rd. Las Vegas, NV 89169",Las Vegas,Clark County,NV,36.130209,-115.125461,32,32003
"5501 N 19th Ave Suite 420, Phoenix AZ 85015",Phoenix,Maricopa County,AZ,33.517231,-112.099242,4,4013
"642 Southern Blvd., Bronx, NY 10455",Bronx,Bronx County,NY,40.812919,-73.900798,36,36005
"1393 Santa Rita Rd, Ste B, Pleasonton, CA 94566",Pleasanton,Alameda County,CA,37.671069,-121.873522,6,6001
"216-4 Union Turnpike, Oakland Gardens, NY 11364",Oakland Gardens,Queens County,NY,40.734554,-73.754926,36,36081
"3114 Mercer University Drive, Suite 100, Atlanta, GA 30341",Atlanta,DeKalb County,GA,33.877141,-84.261435,13,13089
"1120 19th St NW, Washington, DC 20036",Washington,District of Columbia,DC,38.904556,-77.04386,11,11001
"124 E. 40th St. Ste 702, New York, NY 10016",New York,New York County,NY,40.750191,-73.977327,36,36061
"5 Cornwall Court, # B4, East Brunswick, NJ 08816",East Brunswick,Middlesex County,NJ,40.411307,-74.422039,34,34023
"962 East Cypress Road, Fort Lauderdale, FL 33334",Fort Lauderdale,Broward County,FL,26.2031,-80.15419,12,12011
"15921 E 8 Mile Road, Eastpointe, MI, 48021",Eastpointe,Macomb County,MI,42.450553,-82.957398,26,26099
"14 DeKalb Avenue, 4th Floor, Brooklyn, NY 11201",Brooklyn,Kings County,NY,40.689857,-73.982219,36,36047
"455 W Broadway, Jackson, WY 83001",Jackson,Teton County,WY,43.479536,-110.769766,56,56039
"227 N. Dubuque Street, Iowa City, IA 52245",Iowa City,Johnson County,IA,41.664444,-91.533375,19,19103
"136 W. Market Street, Louisville, KY 40202",Louisville,Jefferson County,KY,38.254379,-85.753141,21,21111
"38 South Main Street, Concord, NH 03301",Concord,Merrimack County,NH,43.20184,-71.535112,33,33013
"450 Sutter Street, Suite 1324, San Francisco, CA 94108",San Francisco,San Francisco County,CA,37.789657,-122.407834,6,6075
"8603 South Dixie Highway, #102, Miami, FL 33143",Pinecrest,Miami-Dade County,FL,25.690248,-80.30608,12,12086
"900 S. Washington St., Suite 300, Falls Church, VA 22046",Falls Church,Falls Church city,VA,38.879254,-77.183032,51,51610
"1331 N. 7th Street, #225, Phoenix, AZ 85006",Phoenix,Maricopa County,AZ,33.46342,-112.06434,4,4013
"659 W. Washington Blvd., Chicago IL 60661",Chicago,Cook County,IL,41.882831,-87.644984,17,17031
"4341 N Milwaukee Ave., Chicago, IL 60641",Chicago,Cook County,IL,41.960101,-87.753623,17,17031
"700 E. Hebron Street, Charlotte, NC, 28273",Charlotte,Mecklenburg County,NC,35.125088,-80.880129,37,37119
"66 Painters Mill Road, Suite 106, Owings Mills, MD 21117",Owings Mills,Baltimore County,MD,39.413836,-76.777886,24,24005
"1924 Cliff Valley Way NE, Atlanta, GA 30329",Atlanta,DeKalb County,GA,33.832907,-84.323503,13,13089
"3599 University Boulevard South Building #1200, Jacksonville, FL 32216",Jacksonville,Duval County,FL,30.289709,-81.598374,12,12031
"150 Emory Street, Attleboro, MA 02703",Attleboro,Bristol County,MA,41.943031,-71.269377,25,25005
